Country,Value,Year
Austria,16.5416394,2021
Austria,16.5416394,2020
Austria,16.5416394,2019
Austria,17.54940497,2018
Austria,17.43443916,2017
Austria,17.39610617,2016
Austria,18.14284631,2015
Austria,17.32020169,2014
Austria,15.8942319,2013
Austria,16.66326686,2012
Austria,17.39866726,2011
Austria,17.17846191,2010
Austria,17.54959574,2009
Austria,17.21534785,2008
Austria,17.31913871,2007
Austria,14.61934234,2006
Austria,14.71253641,2005
Austria,15.36111031,2004
Austria,14.93945221,2003
Austria,14.93945221,2002
Austria,14.49724848,2001
Austria,14.49724848,2000
Belgium,14.33834031,2021
Belgium,14.33834031,2020
Belgium,14.33834031,2019
Belgium,15.24334441,2018
Belgium,15.37574253,2017
Belgium,16.2934439,2016
Belgium,16.81391836,2015
Belgium,16.31365435,2014
Belgium,15.69525209,2013
Belgium,15.35569421,2012
Belgium,16.16098801,2011
Belgium,15.06141152,2010
Belgium,14.9754016,2009
Belgium,14.99172397,2008
Belgium,15.0065755,2007
Belgium,15.02126019,2006
Belgium,14.32119515,2005
Belgium,15.47634988,2004
Belgium,15.83040724,2003
Belgium,15.83040724,2002
Belgium,12.92788491,2001
Belgium,12.92788491,2000
Bulgaria,20.63423247,2021
Bulgaria,20.63423247,2020
Bulgaria,20.63423247,2019
Bulgaria,19.92854825,2018
Bulgaria,20.64419293,2017
Bulgaria,21.45431882,2016
Bulgaria,21.42150376,2015
Bulgaria,20.56796906,2014
Bulgaria,20.85999207,2013
Bulgaria,20.32892807,2012
Bulgaria,19.89689455,2011
Bulgaria,21.23453657,2010
Bulgaria,19.98032081,2009
Bulgaria,18.86493427,2008
Bulgaria,15.58303317,2007
Bulgaria,21.08918276,2006
Bulgaria,21.08918276,2005
Bulgaria,13.94466213,2004
Bulgaria,13.94466213,2003
Bulgaria,13.94466213,2002
Bulgaria,19.18487733,2001
Bulgaria,19.18487733,2000
Croatia,17.03912885,2021
Croatia,17.03912885,2020
Croatia,17.03912885,2019
Croatia,17.93985035,2018
Croatia,19.0859468,2017
Croatia,19.75406242,2016
Croatia,20.37695285,2015
Croatia,20.82567303,2014
Croatia,20.8135901,2013
Croatia,19.98225876,2012
Croatia,20.84353705,2011
Croatia,13.68287628,2010
Croatia,16.07013488,2009
Croatia,15.88168153,2008
Croatia,14.98640009,2007
Croatia,14.98640009,2006
Croatia,14.98640009,2005
Croatia,14.98640009,2004
Croatia,17.34051758,2003
Croatia,17.34051758,2002
Croatia,17.34051758,2001
Croatia,16.8279248,2000
Cyprus,14.54051246,2021
Cyprus,14.54051246,2020
Cyprus,14.54051246,2019
Cyprus,14.20213938,2018
Cyprus,15.61848733,2017
Cyprus,15.28336917,2016
Cyprus,16.45381286,2015
Cyprus,16.42098281,2014
Cyprus,15.1225379,2013
Cyprus,15.20725851,2012
Cyprus,13.59097794,2011
Cyprus,14.17908723,2010
Cyprus,14.33834468,2009
Cyprus,14.97138543,2008
Cyprus,14.30002498,2007
Cyprus,13.96772736,2006
Cyprus,13.84849753,2005
Cyprus,14.60506695,2004
Cyprus,14.60506695,2003
Cyprus,14.60506695,2002
Cyprus,14.60506695,2001
Cyprus,14.60506695,2000
Czechia,9.011693576,2021
Czechia,9.011693576,2020
Czechia,9.011693576,2019
Czechia,9.117349517,2018
Czechia,9.35915896,2017
Czechia,9.893298951,2016
Czechia,10.89767635,2015
Czechia,11.06555033,2014
Czechia,12.30497101,2013
Czechia,12.54745634,2012
