Continent,Year,Avg_Share_of_pop
Africa,2000,52.55187594
Africa,2001,52.55187594
Africa,2002,52.55187594
Africa,2003,52.55187594
Africa,2004,52.72860777
Africa,2005,52.30467848
Africa,2006,52.18423931
Africa,2007,51.82284965
Africa,2008,51.58480553
Africa,2009,51.56708617
Africa,2010,50.96856853
Africa,2011,50.45466211
Africa,2012,49.70814044
Africa,2013,49.98131917
Africa,2014,49.47324033
Africa,2015,49.0294987
Africa,2016,49.69891909
Africa,2017,48.69970072
Africa,2018,45.1244822
Africa,2019,45.25326104
Africa,2020,45.25326104
Africa,2021,45.25326104
Americas,2000,24.80598101
Americas,2001,24.79481591
Americas,2002,24.75699433
Americas,2003,24.48143499
Americas,2004,23.8957999
Americas,2005,24.13915937
Americas,2006,23.73519353
Americas,2007,23.34768534
Americas,2008,23.33489767
Americas,2009,23.3315508
Americas,2010,23.03705218
Americas,2011,22.8684558
Americas,2012,21.91328452
Americas,2013,21.73188639
Americas,2014,21.28378903
Americas,2015,21.11227433
Americas,2016,21.40383738
Americas,2017,20.97330284
Americas,2018,20.9158337
Americas,2019,20.98174272
Americas,2020,20.92415238
Americas,2021,20.92415238
Asia,2000,19.60213822
Asia,2001,17.75574913
Asia,2002,17.42343761
Asia,2003,19.13197261
Asia,2004,19.43423694
Asia,2005,19.09673948
Asia,2006,18.8941433
Asia,2007,18.89504706
Asia,2008,18.79748157
Asia,2009,18.48047224
Asia,2010,17.29514883
Asia,2011,17.01634005
Asia,2012,16.75630711
Asia,2013,16.31524135
Asia,2014,16.19327958
Asia,2015,16.14888322
Asia,2016,15.79070456
Asia,2017,15.6404404
Asia,2018,15.40848305
Asia,2019,15.2785281
Asia,2020,15.2797011
Asia,2021,15.27211238
Europe,2000,13.97098703
Europe,2001,13.87908268
Europe,2002,13.87444258
Europe,2003,14.13545404
Europe,2004,14.04552308
Europe,2005,14.20059675
Europe,2006,13.98213446
Europe,2007,13.84955765
Europe,2008,13.97041948
Europe,2009,14.34123757
Europe,2010,14.59995277
Europe,2011,14.54522746
Europe,2012,14.79510659
Europe,2013,14.76379245
Europe,2014,15.12092668
Europe,2015,14.86522047
Europe,2016,14.99348922
Europe,2017,14.88037749
Europe,2018,14.1663394
Europe,2019,14.26526384
Europe,2020,14.17495039
Europe,2021,14.17495039
Oceania,2000,25.02057801
Oceania,2001,25.02057801
Oceania,2002,25.04112043
Oceania,2003,25.04112043
Oceania,2004,24.97923829
Oceania,2005,23.91977543
Oceania,2006,23.91977543
Oceania,2007,23.96931136
Oceania,2008,23.7583708
Oceania,2009,23.58457187
Oceania,2010,23.58483875
Oceania,2011,23.58483875
Oceania,2012,22.45070533
Oceania,2013,21.92603349
Oceania,2014,21.99107424
Oceania,2015,21.95741632
Oceania,2016,21.95741632
Oceania,2017,22.04134867
Oceania,2018,22.04134867
Oceania,2019,19.97417199
Oceania,2020,19.97417199
Oceania,2021,19.97417199
World,2000,27.19031204
World,2001,26.80042033
World,2002,26.72957418
World,2003,27.0683716
World,2004,27.0166812
World,2005,26.7321899
World,2006,26.54309721
World,2007,26.37689021
World,2008,26.28919501
World,2009,26.26098373
World,2010,25.89711221
World,2011,25.69390483
World,2012,25.1247088
World,2013,24.94365457
World,2014,24.81246197
World,2015,24.62265861
World,2016,24.76887331
World,2017,24.44703402
World,2018,23.5312974
World,2019,23.15059354
World,2020,23.12124738
World,2021,23.11972964
