name,code,pop,year
Austria,AUT,14.49724848,2000
Austria,AUT,14.49724848,2001
Austria,AUT,14.93945221,2002
Austria,AUT,14.93945221,2003
Austria,AUT,15.36111031,2004
Austria,AUT,14.71253641,2005
Austria,AUT,14.61934234,2006
Austria,AUT,17.31913871,2007
Austria,AUT,17.21534785,2008
Austria,AUT,17.54959574,2009
Austria,AUT,17.17846191,2010
Austria,AUT,17.39866726,2011
Austria,AUT,16.66326686,2012
Austria,AUT,15.8942319,2013
Austria,AUT,17.32020169,2014
Austria,AUT,18.14284631,2015
Austria,AUT,17.39610617,2016
Austria,AUT,17.43443916,2017
Austria,AUT,17.54940497,2018
Austria,AUT,16.5416394,2019
Austria,AUT,16.5416394,2020
Austria,AUT,16.5416394,2021
Belgium,BEL,12.92788491,2000
Belgium,BEL,12.92788491,2001
Belgium,BEL,15.83040724,2002
Belgium,BEL,15.83040724,2003
Belgium,BEL,15.47634988,2004
Belgium,BEL,14.32119515,2005
Belgium,BEL,15.02126019,2006
Belgium,BEL,15.0065755,2007
Belgium,BEL,14.99172397,2008
Belgium,BEL,14.9754016,2009
Belgium,BEL,15.06141152,2010
Belgium,BEL,16.16098801,2011
Belgium,BEL,15.35569421,2012
Belgium,BEL,15.69525209,2013
Belgium,BEL,16.31365435,2014
Belgium,BEL,16.81391836,2015
Belgium,BEL,16.2934439,2016
Belgium,BEL,15.37574253,2017
Belgium,BEL,15.24334441,2018
Belgium,BEL,14.33834031,2019
Belgium,BEL,14.33834031,2020
Belgium,BEL,14.33834031,2021
Bulgaria,BGR,19.18487733,2000
Bulgaria,BGR,19.18487733,2001
Bulgaria,BGR,13.94466213,2002
Bulgaria,BGR,13.94466213,2003
Bulgaria,BGR,13.94466213,2004
Bulgaria,BGR,21.08918276,2005
Bulgaria,BGR,21.08918276,2006
Bulgaria,BGR,15.58303317,2007
Bulgaria,BGR,18.86493427,2008
Bulgaria,BGR,19.98032081,2009
Bulgaria,BGR,21.23453657,2010
Bulgaria,BGR,19.89689455,2011
Bulgaria,BGR,20.32892807,2012
Bulgaria,BGR,20.85999207,2013
Bulgaria,BGR,20.56796906,2014
Bulgaria,BGR,21.42150376,2015
Bulgaria,BGR,21.45431882,2016
Bulgaria,BGR,20.64419293,2017
Bulgaria,BGR,19.92854825,2018
Bulgaria,BGR,20.63423247,2019
Bulgaria,BGR,20.63423247,2020
Bulgaria,BGR,20.63423247,2021
Croatia,HRV,16.8279248,2000
Croatia,HRV,17.34051758,2001
Croatia,HRV,17.34051758,2002
Croatia,HRV,17.34051758,2003
Croatia,HRV,14.98640009,2004
Croatia,HRV,14.98640009,2005
Croatia,HRV,14.98640009,2006
Croatia,HRV,14.98640009,2007
Croatia,HRV,15.88168153,2008
Croatia,HRV,16.07013488,2009
Croatia,HRV,13.68287628,2010
Croatia,HRV,20.84353705,2011
Croatia,HRV,19.98225876,2012
Croatia,HRV,20.8135901,2013
Croatia,HRV,20.82567303,2014
Croatia,HRV,20.37695285,2015
Croatia,HRV,19.75406242,2016
Croatia,HRV,19.0859468,2017
Croatia,HRV,17.93985035,2018
Croatia,HRV,17.03912885,2019
