name,code,pop
Albania,ALB,4.215006949
Algeria,DZA,6.25875
Angola,AGO,52.90232642
Argentina,ARG,21.20342711
Armenia,ARM,4.818342442
Australia,AUS,11.74236167
Austria,AUT,16.5416394
Azerbaijan,AZE,0.877563558
Bangladesh,BGD,51.62782192
Belarus,BLR,3.875039873
Belgium,BEL,14.33834031
Benin,BEN,53.23200059
Bhutan,BTN,9.420179567
Bolivia,BOL,17.77257899
Bosnia and Herzegovina,BIH,11.80926331
Botswana,BWA,19.66718057
Brazil,BRA,18.25272401
Bulgaria,BGR,20.63423247
Burkina Faso,BFA,59.82006804
Burundi,BDI,86.66509999
Cameroon,CMR,21.73172278
Canada,CAN,13.2420247
Cabo Verde,CPV,15.77019548
Central African Republic,CAF,80.80658536
Chad,TCD,64.64489482
Chile,CHL,14.07001515
China,CHN,13.77155085
Colombia,COL,22.96368662
Comoros,COM,39.52455399
Congo,COG,21.54455884
Costa Rica,CRI,20.32116697
Côte d'Ivoire,CIV,11.96784415
Croatia,HRV,17.03912885
Cyprus,CYP,14.54051246
Czechia,CZE,9.011693576
Congo (DRC),COD,87.74177815
Denmark,DNK,10.72649379
Djibouti,DJI,43.79875188
Dominican Republic,DOM,13.58816902
Ecuador,ECU,20.14805764
Egypt,EGY,5.245876667
El Salvador,SLV,14.56703182
Estonia,EST,14.74118537
Eswatini,SWZ,19.75422117
Ethiopia,ETH,65.0294212
Fiji,FJI,9.616118334
Finland,FIN,12.98154305
France,FRA,15.95612129
Gabon,GAB,15.70145428
Gambia,GMB,44.64912795
Georgia,GEO,14.02366382
Germany,DEU,16.9999775
Ghana,GHA,20.63422729
Greece,GRC,20.78733506
Guatemala,GTM,19.60626601
Guinea,GIN,46.59625008
Guinea-Bissau,GNB,56.7875429
Haiti,HTI,58.02794172
Honduras,HND,25.08621439
Hungary,HUN,19.59022065
Iceland,ISL,6.279344833
India,IND,6.68626175
Indonesia,IDN,11.50331786
Iran,IRN,15.35010425
Iraq,IRQ,7.635099333
Ireland,IRL,13.65255126
Israel,ISR,20.49445241
Italy,ITA,21.54270577
Jamaica,JAM,15.65007066
Japan,JPN,9.103667513
Jordan,JOR,7.474041939
Kazakhstan,KAZ,3.763738531
Kenya,KEN,13.95534809
Kiribati,KIR,19.42143042
Kosovo,XKX,6.703719277
Kyrgyzstan,KGZ,4.971117917
Laos,LAO,32.46647646
Latvia,LVA,17.77847761
Lebanon,LBN,10.72479371
Lesotho,LSO,54.6500065
Liberia,LBR,60.58550356
Lithuania,LTU,18.75768379
Luxembourg,LUX,20.71574214
Madagascar,MDG,92.41158958
Malawi,MWI,89.05997567
Malaysia,MYS,16.40565127
Maldives,MDV,7.451093455
Mali,MLI,47.48414688
Malta,MLT,14.92256662
Marshall Islands,MHL,11.33927899
Mauritania,MRT,26.21806605
Mauritius,MUS,10.86659386
Mexico,MEX,17.03386216
Micronesia,FSM,15.96102379
Moldova,MDA,4.49140742
Mongolia,MNG,9.859269517
Montenegro,MNE,19.92410505
Morocco,MAR,11.66835287
Mozambique,MOZ,83.12752844
Myanmar,MMR,19.64515058
Namibia,NAM,24.14941495
Nauru,NRU,11.79435263
Nepal,NPL,40.03102881
Netherlands,NLD,14.70844083
Nicaragua,NIC,18.27590187
Niger,NER,81.1010625
Nigeria,NGA,13.2235594
North Macedonia,MKD,17.4476571
Norway,NOR,8.313874758
Pakistan,PAK,3.488484603
Palestine,PSE,12.75347826
Panama,PAN,22.75475387
Papua New Guinea,PNG,19.50924163
Paraguay,PRY,18.63178255
Peru,PER,19.72005516
Philippines,PHL,11.16916695
Poland,POL,14.73585474
Portugal,PRT,16.21080192
Romania,ROU,25.14747636
Russia,RUS,9.763668805
Rwanda,RWA,78.04064316
Saint Lucia,LCA,23.10950353
Samoa,WSM,12.16938937
Sao Tome and Principe,STP,59.45147714
Senegal,SEN,37.44380374
Serbia,SRB,9.398007349
Seychelles,SYC,14.25827012
Sierra Leone,SLE,64.28060527
Slovakia,SVK,13.09040581
Slovenia,SVN,10.97297456
Solomon Islands,SLB,61.02240731
Somalia,SOM,90.17597171
South Africa,ZAF,23.54905584
South Korea,KOR,12.24446936
South Sudan,SSD,86.45442256
Spain,ESP,22.03809904
Sri Lanka,LKA,7.774475385
Sudan,SDN,49.7229746
Suriname,SUR,31.52302243
Sweden,SWE,15.42698279
Switzerland,CHE,11.24961592
Syria,SYR,10.13352876
Taiwan,TWN,8.498815262
Tajikistan,TJK,11.73440779
Tanzania,TZA,74.33797364
Thailand,THA,10.57930556
Timor-Leste,TLS,43.2524206
Togo,TGO,56.76638184
Tonga,TON,12.60408892
Tunisia,TUN,10.50029377
Turkey,TUR,17.33611357
Tuvalu,TUV,19.55570664
Uganda,UGA,71.92594055
Ukraine,UKR,5.121957383
United Arab Emirates,ARE,19.33035011
United Kingdom,GBR,13.99111109
United States of America,USA,18.49941137
Uruguay,URY,17.96396072
Uzbekistan,UZB,10.34946437
Vanuatu,VUT,34.95466412
Venezuela,VEN,20.16802868
Vietnam,VNM,13.96688645
Yemen,YEM,54.35240343
Zambia,ZMB,25.26213705
Zimbabwe,ZWE,16.77078129
