Continent,Country,Year,Value
Europe,Albania,2016,19.66
Europe,Albania,2017,19.17
Europe,Albania,2018,18.93
Africa,Angola,2000,21.4
Africa,Angola,2008,14.6
Africa,Angola,2018,24.5
Americas,Argentina,2000,25.44
Americas,Argentina,2001,26.28
Americas,Argentina,2002,26.28
Americas,Argentina,2003,25.02
Americas,Argentina,2004,25.21
Americas,Argentina,2005,24.7
Americas,Argentina,2006,24.38
Americas,Argentina,2007,24.58
Americas,Argentina,2008,23.83
Americas,Argentina,2009,23.76
Americas,Argentina,2010,23.94
Americas,Argentina,2011,23.41
Americas,Argentina,2012,23.04
Americas,Argentina,2013,23.23
Americas,Argentina,2014,23.32
Americas,Argentina,2016,23.29
Americas,Argentina,2017,19.84
Americas,Argentina,2018,23.24
Americas,Argentina,2019,23.56
Americas,Argentina,2020,23.8
Oceania,Australia,2001,15.75
Oceania,Australia,2003,15.78
Oceania,Australia,2004,9.79
Oceania,Australia,2008,15.98
Oceania,Australia,2010,15.96
Oceania,Australia,2014,9.99
Oceania,Australia,2016,15.84
Oceania,Australia,2018,15.86
Europe,Austria,2000,18.23
Europe,Austria,2003,18.22
Europe,Austria,2004,18.33
Europe,Austria,2005,18.16
Europe,Austria,2006,18.07
Europe,Austria,2007,18.72
Europe,Austria,2008,18.73
Europe,Austria,2009,18.97
Europe,Austria,2010,18.74
Europe,Austria,2011,19.05
Europe,Austria,2012,18.63
Europe,Austria,2013,18.53
Europe,Austria,2014,18.97
Europe,Austria,2015,19.21
Europe,Austria,2016,18.89
Europe,Austria,2017,18.9
Europe,Austria,2018,19.01
Europe,Austria,2019,18.72
Asia,Bangladesh,2000,33.3
Asia,Bangladesh,2005,24
Asia,Bangladesh,2010,18.2
Asia,Bangladesh,2016,13.5
Asia,Bangladesh,2022,11.4
Europe,Belgium,2000,17.32
Europe,Belgium,2003,18.07
Europe,Belgium,2004,18.02
Europe,Belgium,2005,17.71
Europe,Belgium,2006,17.89
Europe,Belgium,2007,17.86
Europe,Belgium,2008,17.7
Europe,Belgium,2009,17.71
Europe,Belgium,2010,17.99
Europe,Belgium,2011,18.17
Europe,Belgium,2012,17.87
Europe,Belgium,2013,18.16
Europe,Belgium,2014,18.17
Europe,Belgium,2015,18.56
Europe,Belgium,2016,18.42
Europe,Belgium,2017,17.95
Europe,Belgium,2018,17.75
Europe,Belgium,2019,17.64
Africa,Benin,2003,53.1
Africa,Benin,2011,54.3
Africa,Benin,2015,50.7
Africa,Benin,2018,18.2
Asia,Bhutan,2003,13.4
Asia,Bhutan,2007,5.9
Asia,Bhutan,2012,1.7
Asia,Bhutan,2017,1.9
Asia,Bhutan,2022,0.1
Americas,Bolivia,2000,29.59
Americas,Bolivia,2001,26.82
Americas,Bolivia,2002,27.28
Americas,Bolivia,2004,23.7
Americas,Bolivia,2005,26.14
Americas,Bolivia,2006,25.92
Americas,Bolivia,2007,26.02
Americas,Bolivia,2008,24.41
Americas,Bolivia,2009,24.19
Americas,Bolivia,2011,23.19
Americas,Bolivia,2012,24.04
Americas,Bolivia,2013,23.92
Americas,Bolivia,2014,23.63
Americas,Bolivia,2015,23.54
Americas,Bolivia,2016,23.57
Americas,Bolivia,2017,23.55
Americas,Bolivia,2018,22.64
Americas,Bolivia,2019,18.5
Americas,Bolivia,2020,18.67
Americas,Brazil,2001,26.07
Americas,Brazil,2002,25.72
Americas,Brazil,2003,25.74
Americas,Brazil,2004,25.32
Americas,Brazil,2005,25.32
Americas,Brazil,2006,24.88
Americas,Brazil,2007,25.22
Americas,Brazil,2008,24.51
Americas,Brazil,2009,24.6
Americas,Brazil,2011,24.29
Americas,Brazil,2012,24.54
Americas,Brazil,2013,24.01
Americas,Brazil,2014,23.94
Americas,Brazil,2015,23.88
Americas,Brazil,2016,24.33
Americas,Brazil,2017,24.5
Americas,Brazil,2018,24.58
Americas,Brazil,2019,24.82
Americas,Brazil,2020,19.02
Europe,Bulgaria,2006,24.02
Europe,Bulgaria,2007,19.54
Europe,Bulgaria,2008,19.61
Europe,Bulgaria,2009,19.99
Europe,Bulgaria,2010,24.84
Europe,Bulgaria,2011,19.88
Europe,Bulgaria,2012,24.41
Europe,Bulgaria,2013,24.59
Europe,Bulgaria,2014,24.5
Europe,Bulgaria,2015,24.77
Europe,Bulgaria,2016,25.12
Europe,Bulgaria,2017,24.85
Europe,Bulgaria,2018,19.98
Europe,Bulgaria,2019,24.87
Africa,Burkina Faso,2003,54.7
Africa,Burkina Faso,2009,52.6
Africa,Burkina Faso,2014,39.6
Africa,Burkina Faso,2018,25.2
Africa,Burundi,2006,71.8
Africa,Burundi,2013,65.1
Americas,Canada,2000,16.48
Americas,Canada,2004,16.72
Americas,Canada,2007,16.27
Americas,Canada,2010,16.55
Americas,Canada,2012,16.99
Americas,Canada,2013,16.97
Americas,Canada,2014,16.53
Americas,Canada,2015,16.88
Americas,Canada,2016,16.44
Americas,Canada,2017,16.77
Africa,Central African Republic,2008,61.9
Africa,Central African Republic,2021,49.4
Africa,Chad,2003,57.8
Africa,Chad,2011,36.6
Africa,Chad,2018,25.3
Americas,Chile,2000,19.56
Americas,Chile,2003,19.65
Americas,Chile,2006,18.04
Americas,Chile,2009,17.51
Americas,Chile,2011,17.44
Americas,Chile,2013,17.21
Americas,Chile,2015,17
Americas,Chile,2017,17.04
Americas,Chile,2020,17.22
Americas,Colombia,2000,23.81
Americas,Colombia,2001,24.23
Americas,Colombia,2002,23.9
Americas,Colombia,2003,23.35
Americas,Colombia,2004,23.16
Americas,Colombia,2005,23.24
Americas,Colombia,2008,24.79
Americas,Colombia,2009,24.21
Americas,Colombia,2010,24
Americas,Colombia,2011,23.73
Americas,Colombia,2012,23.96
Americas,Colombia,2013,24.06
Americas,Colombia,2014,23.89
Americas,Colombia,2015,23.58
Americas,Colombia,2016,23.39
Americas,Colombia,2017,23.14
Americas,Colombia,2018,23.35
Americas,Colombia,2019,23.68
Americas,Colombia,2020,24.16
Africa,Comoros,2004,14.6
Africa,Comoros,2014,18.6
Americas,Costa Rica,2000,23.01
Americas,Costa Rica,2001,23.57
Americas,Costa Rica,2002,23.43
Americas,Costa Rica,2003,23.48
Americas,Costa Rica,2004,23.28
Americas,Costa Rica,2005,19.74
Americas,Costa Rica,2006,19.65
Americas,Costa Rica,2007,19.09
