ISO3 Code,MaxYear,ISO2 Code,Country,Continent,Region,LDC Flag,Year,Rule,Median Daily Income €,Median Daily Female Income €,Median Daily Male Income €,Population,% Female Population,Female Population,% Male Population,Male Population,% of Population under Poverty Line,% of Female Population under Poverty Line,% of Male Population under Poverty Line,Female Population under Poverty Line,Male Population under Poverty Line,MaxYear Flag
ALB,N/A,AL,Albania,Europe,Rest of the World,NO,2016,<= 50% Median Daily Income,7.40760017543,,,2876101,0.49281713122028,1417391,0.50718286877972,1458709,19.66,0.00,0.00,0,0,0
ALB,N/A,AL,Albania,Europe,Rest of the World,NO,2017,<= 50% Median Daily Income,7.92146395859,,,2873457,0.49470015028205,1421499,0.50529984971795,1451957,19.17,0.00,0.00,0,0,0
ALB,2018,AL,Albania,Europe,Rest of the World,NO,2018,<= 50% Median Daily Income,8.37166129618,,,2866376,0.49879909027692,1429745,0.50120090972308,1436630,18.93,0.00,0.00,0,0,1
AGO,N/A,AO,Angola,Africa,Rest of the World,YES,2000,<= 1.9565€ Median Daily Income,,,,16394062,,,,,21.40,0.00,0.00,,,0
AGO,N/A,AO,Angola,Africa,Rest of the World,YES,2008,<= 1.9565€ Median Daily Income,,,,21691522,,,,,14.60,0.00,0.00,,,0
AGO,2018,AO,Angola,Africa,Rest of the World,YES,2018,<= 3.3215€ Median Daily Income,,,,31273533,,,,,24.50,0.00,0.00,,,1
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2000,<= 50% Median Daily Income,11.6664805166,,,32867365,,,,,25.44,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2001,<= 50% Median Daily Income,10.4117175526,,,33297960,,,,,26.28,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2002,<= 50% Median Daily Income,7.14224913129,,,33728928,,,,,26.28,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2003,<= 50% Median Daily Income,10.5484005354,,,34159484,,,,,25.02,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2004,<= 50% Median Daily Income,12.2370867164,,,34588884,,,,,25.21,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2005,<= 50% Median Daily Income,13.5883593391,,,35015688,,,,,24.70,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2006,<= 50% Median Daily Income,15.5320400508,,,35439468,,,,,24.38,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2007,<= 50% Median Daily Income,16.0447885962,,,35861117,,,,,24.58,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2008,<= 50% Median Daily Income,16.7685182574,,,36284568,,,,,23.83,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2009,<= 50% Median Daily Income,17.9042739785,,,36714243,,,,,23.76,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2010,<= 50% Median Daily Income,18.4130573627,,,37055902,,,,,23.94,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2011,<= 50% Median Daily Income,19.602575083,,,37543830,,,,,23.41,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2012,<= 50% Median Daily Income,19.9000716278,,,38027774,,,,,23.04,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2013,<= 50% Median Daily Income,20.2361817567,,,38509756,,,,,23.23,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2014,<= 50% Median Daily Income,18.4772242928,,,38990109,,,,,23.32,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2016,<= 50% Median Daily Income,19.3319879844,,,39940546,,,,,23.29,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2017,<= 50% Median Daily Income,20.5418095519,,,40410674,,,,,19.84,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2018,<= 50% Median Daily Income,18.7214869569,,,40877099,,,,,23.24,0.00,0.00,,,0
ARG,N/A,AR,Argentina,Americas,Rest of the World,NO,2019,<= 50% Median Daily Income,17.722631927,,,41339571,,,,,23.56,0.00,0.00,,,0
ARG,2020,AR,Argentina,Americas,Rest of the World,NO,2020,<= 50% Median Daily Income,15.6823805957,,,41796990,,,,,23.80,0.00,0.00,,,1
AUS,N/A,AU,Australia,Oceania,Rest of the World,NO,2001,<= 50% Median Daily Income,32.0110092484,,,19413000,,,,,15.75,0.00,0.00,,,0
AUS,N/A,AU,Australia,Oceania,Rest of the World,NO,2003,<= 50% Median Daily Income,33.1036031235,,,19895400,,,,,15.78,0.00,0.00,,,0
AUS,N/A,AU,Australia,Oceania,Rest of the World,NO,2004,<= 50% Median Daily Income,36.2453345436,,,20127400,,,,,9.79,0.00,0.00,,,0
AUS,N/A,AU,Australia,Oceania,Rest of the World,NO,2008,<= 50% Median Daily Income,43.906969743,,,21249200,,,,,15.98,0.00,0.00,,,0
AUS,N/A,AU,Australia,Oceania,Rest of the World,NO,2010,<= 50% Median Daily Income,44.591443533,,,22031750,,,,,15.96,0.00,0.00,,,0
AUS,N/A,AU,Australia,Oceania,Rest of the World,NO,2014,<= 50% Median Daily Income,47.569868346,,,23475686,,,,,9.99,0.00,0.00,,,0
AUS,N/A,AU,Australia,Oceania,Rest of the World,NO,2016,<= 50% Median Daily Income,47.2909139612,,,24190907,,,,,15.84,0.00,0.00,,,0
AUS,2018,AU,Australia,Oceania,Rest of the World,NO,2018,<= 50% Median Daily Income,48.2759501861,,,24982688,,,,,15.86,0.00,0.00,,,1
AUT,N/A,AT,Austria,Europe,EU27,NO,2000,<= 60% Median Daily Income,42.6368218458,38.83425108808,41.856028726926,8011566,0.51659071658669,4138700,0.48340928341331,3872865,18.23,16.60,17.89,687010.80368991,692907.18447863,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2003,<= 60% Median Daily Income,43.5283908878,40.811364662568,42.769775811351,8121423,0.51488067130577,4181563,0.48511932869423,3939859,18.22,17.08,17.90,714412.52727369,705418.67570208,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2004,<= 60% Median Daily Income,45.6673539777,44.359481996243,45.983921257444,8171966,0.51457604371493,4205097,0.48542395628507,3966868,18.33,17.81,18.46,748801.94556258,732248.06362858,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2005,<= 60% Median Daily Income,44.2758328376,46.49423030167,48.270960743608,8227829,0.51412125722091,4230101,0.48587874277909,3997727,18.16,19.07,19.80,806693.71972721,791512.81833711,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2006,<= 60% Median Daily Income,44.4763847619,46.702628759522,48.663711683405,8268641,0.51366621365015,4247321,0.48633378634985,4021319,18.07,18.98,19.78,806086.34437638,795241.26749048,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2007,<= 60% Median Daily Income,46.4833697237,47.522863715424,49.833949177494,8295487,0.51345288123217,4259341,0.48654711876783,4036145,18.72,19.14,25.37,815029.94122178,1024075.9207586,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2008,<= 60% Median Daily Income,48.0834231605,50.330899346217,53.237790655734,8321496,0.51342147901255,4272434,0.48657852098745,4049061,18.73,19.61,26.26,837705.24369252,1063312.9028159,0
